ID,NAME,DESCRIPTION,PRICE
1,Шарф,Теплый зимний шарф красного цвета,5.75
2,Шапка,Вязаная зеленая шапка,6.5
3,Ботинки,Осенние ботинки на толстой подошве,7.25
4,Перчатки,Кожаные перчатки с подкладкой,8.0
5,Куртка,Зимняя куртка с капюшоном,8.75
6,Свитер,Теплый шерстяной свитер,9.5
7,Рюкзак,Городской рюкзак для ноутбука,10.25
8,Очки,Солнцезащитные очки с поляризацией,11.0
9,Часы,Наручные часы с металлическим браслетом,11.75
10,Брюки,Классические брюки темного цвета,12.5
11,Рубашка,Хлопковая рубашка в клетку,13.25
12,Пальто,Стильное шерстяное пальто,14.0
13,Кроссовки,Спортивные кроссовки для бега,14.75
14,Кеды,Легкие кеды из текстиля,15.5
15,Джинсы,Синие джинсы с завышенной талией,16.25
16,Платье,Летнее платье с цветочным принтом,17.0
17,Юбка,Короткая юбка из денима,17.75
18,Ремень,Кожаный ремень с металлической пряжкой,18.5
19,Кошелек,Кожаный кошелек на молнии,19.25
20,Сумка,Стильная сумка через плечо,20.0
21,Носки,Набор носков из хлопка,20.75
22,Туфли,Классические туфли из натуральной кожи,21.5
23,Сандалии,Летние сандалии на плоской подошве,22.25
24,Пижама,Комфортная пижама из флиса,23.0
25,Халат,Махровый банный халат,23.75
26,Перчатки,Спортивные перчатки для тренировок,24.5
27,Шорты,Спортивные шорты для занятий спортом,25.25
28,Футболка,Хлопковая футболка с принтом,26.0
29,Майка,Базовая белая майка,26.75
30,Толстовка,Толстовка с капюшоном и карманами,27.5
31,Галстук,Классический галстук в полоску,28.25
32,Блузка,Шелковая блузка с рюшами,29.0
33,Лосины,Эластичные лосины для фитнеса,29.75
34,Термобелье,Комплект термобелья для холодной погоды,30.5
35,Бейсболка,Кепка с регулируемым ремешком,31.25
36,Варежки,Зимние варежки с меховой подкладкой,32.0
37,Плавки,Мужские плавки для бассейна,32.75
38,Купальник,Женский купальник раздельный,33.5
39,Слитный купальник,Спортивный купальник для плавания,34.25
40,Шлепанцы,Резиновые шлепанцы для пляжа,35.0
41,Берет,Классический берет из шерсти,35.75
42,Парка,Зимняя парка с меховой отделкой,36.5
43,Ботфорты,Высокие сапоги на каблуке,37.25
44,Термоштаны,Термоштаны для активного отдыха,38.0
45,Флис,Флисовая кофта с молнией,38.75
46,Гольфы,Высокие гольфы из теплой шерсти,39.5
47,Рукавички,Теплые рукавички для детей,40.25
48,Шарф-снуд,Вязаный шарф-снуд для зимы,41.0
49,Лоферы,Стильные лоферы из замши,41.75
50,Поло,Футболка поло с воротником,42.5
